"transaction_id","merchant_id","customer_id","payment_method","bank","failure_code","failure_stage","amount","timestamp","retry_count","is_recurring","recovery_probability","recovery_status"
"1","MERCH041","CUST0115","UPI","ICICI","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","2386","2026-08-06 23:24:55","1","False","0.4","recovered"
"2","MERCH028","CUST0033","UPI","SBI","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","8379","2026-08-31 05:24:09","0","True","0.48","unknown"
"3","MERCH042","CUST0719","CARD","HDFC","PROCESSING_ERROR","PAYMENT_PROCESSING","4657","2026-08-02 07:34:17","1","True","0.53","recovered"
"4","MERCH018","CUST0160","UPI","ICICI","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","6324","2026-08-06 16:40:57","0","False","0.45","recovered"
"5","MERCH003","CUST0748","CARD","SBI","CARD_BLOCKED","CARD_AUTHORIZATION","6301","2026-08-05 19:48:31","1","False","0.0","not_recovered"
"6","MERCH024","CUST0592","UPI","SBI","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","3833","2026-08-16 01:09:41","3","False","0.3","not_recovered"
"7","MERCH025","CUST0285","CARD","ICICI","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","5920","2026-08-12 04:05:36","1","False","0.4","not_recovered"
"8","MERCH005","CUST0624","UPI","HDFC","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","6316","2026-08-15 02:30:43","3","False","0.3","not_recovered"
"9","MERCH044","CUST0333","UPI","HDFC","CUSTOMER_ACTION_REQUIRED","CUSTOMER_AUTHENTICATION","5268","2026-08-21 11:23:27","0","False","0.4","not_recovered"
"10","MERCH046","CUST0323","UPI","AXIS","PROCESSING_ERROR","PAYMENT_PROCESSING","7617","2026-08-08 22:27:26","0","False","0.55","not_recovered"
"11","MERCH017","CUST0765","CARD","AXIS","PROCESSING_ERROR","PAYMENT_PROCESSING","2366","2026-08-26 17:38:28","0","False","0.55","not_recovered"
"12","MERCH010","CUST0643","UPI","AXIS","PROCESSING_ERROR","PAYMENT_PROCESSING","6404","2026-08-20 12:37:07","1","False","0.5","recovered"
"13","MERCH036","CUST0882","UPI","SBI","BANK_TIMEOUT","BANK_RESPONSE","8897","2026-08-14 22:52:25","1","False","0.45","recovered"
"14","MERCH011","CUST0465","UPI","ICICI","CARD_BLOCKED","CARD_AUTHORIZATION","3027","2026-08-26 15:29:31","2","False","0.0","not_recovered"
"15","MERCH041","CUST0520","UPI","HDFC","PROCESSING_ERROR","PAYMENT_PROCESSING","2746","2026-08-28 04:25:19","3","False","0.4","not_recovered"
"16","MERCH039","CUST0332","CARD","SBI","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","6047","2026-08-16 22:16:47","0","False","0.45","not_recovered"
"17","MERCH006","CUST0088","CARD","SBI","CARD_BLOCKED","CARD_AUTHORIZATION","8827","2026-08-08 02:31:17","0","False","0.05","not_recovered"
"18","MERCH017","CUST0541","CARD","HDFC","CARD_BLOCKED","CARD_AUTHORIZATION","3395","2026-08-17 03:10:32","0","False","0.05","not_recovered"
"19","MERCH034","CUST0463","UPI","HDFC","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","5639","2026-08-03 00:30:24","1","False","0.4","recovered"
"20","MERCH005","CUST0725","UPI","HDFC","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","614","2026-08-18 00:58:37","0","False","0.45","not_recovered"
"21","MERCH014","CUST0553","UPI","AXIS","INSUFFICIENT_FUNDS","BANK_AUTHORIZATION","7849","2026-08-21 18:15:33","0","True","0.48","recovered"
"22","MERCH028","CUST0421","CARD","SBI","BANK_TIMEOUT","BANK_RESPONSE","1712","2026-08-04 22:37:07","0","False","0.5","not_recovered"
