transaction_id,merchant_id,customer_id,payment_method,bank,failure_code,failure_stage,amount,timestamp,retry_count,is_recurring,recovery_probability,decision,risk_level,policy_rule,reason,explanation,recovery_attempted,recovery_result,recovered_amount,stopped_reason
5001,MERCHANT_001,CUSTOMER_001,UPI,HDFC,PROCESSING_ERROR,PAYMENT_PROCESSING,1200.0,2026-09-02T10:29:52,0,False,0.789,AUTOMATE,LOW,HIGH_RECOVERY_PROBABILITY,Recovery probability is high and no blocking policy rule was triggered.,"['ML model predicts a high recovery probability.', 'No hard safety restriction was triggered.', 'Transaction amount is below the high-value threshold.', 'Automatic recovery is permitted.']",,,,
5002,MERCHANT_001,CUSTOMER_002,CARD,ICICI,BANK_TIMEOUT,PAYMENT_PROCESSING,2000.0,2026-09-02T10:29:53,1,True,0.6246,REVIEW,HIGH,BANK_TIMEOUT,Bank timeout requires review because the payment may have been processed without confirmation.,"['Bank timeout occurred.', 'Payment processing status is uncertain.', 'The bank may have processed the payment.', 'Automatic retry could create a duplicate charge.', 'Human review is required before recovery.']",,,,
5004,MERCHANT_002,CUSTOMER_004,CARD,HDFC,CARD_BLOCKED,PAYMENT_AUTHORIZATION,1500.0,2026-09-02T10:29:53,1,False,0.2576,DO_NOT_RECOVER,HIGH,CARD_BLOCKED,Card is blocked and automatic recovery is not permitted.,"['Card blocked condition detected.', 'Automatic recovery could repeatedly fail.', 'Further recovery attempts are unsafe.', 'Recovery action is blocked.']",,,,
5011,MERCHANT_001,CUSTOMER_011,UPI,ICICI,PROCESSING_ERROR,PAYMENT_PROCESSING,6500.0,2026-09-02T10:29:56,0,True,0.6617,REVIEW,MEDIUM,MEDIUM_RECOVERY_PROBABILITY,Recovery probability is moderate. Human review is required before recovery.,"['ML model predicts a moderate recovery probability.', 'Prediction confidence is not high enough for automation.', 'Human review is required before recovery.']",,,,
5036,M001,C001,UPI,HDFC,PROCESSING_ERROR,PAYMENT_PROCESSING,1200.0,2026-09-03T11:59:52,0,False,0.7889688719008272,AUTOMATE,LOW,HIGH_RECOVERY_PROBABILITY,Recovery probability is high and no blocking policy rule was triggered.,ML model predicts a high recovery probability. | No hard safety restriction was triggered. | Transaction amount is below the high-value threshold. | Automatic recovery is permitted.,True,failure,0.0,
5037,MERCHANT_001,CUSTOMER_001,UPI,HDFC,PROCESSING_ERROR,PAYMENT_PROCESSING,1200.0,2026-09-03T12:00:59,0,False,0.7889688719008272,AUTOMATE,LOW,HIGH_RECOVERY_PROBABILITY,Recovery probability is high and no blocking policy rule was triggered.,ML model predicts a high recovery probability. | No hard safety restriction was triggered. | Transaction amount is below the high-value threshold. | Automatic recovery is permitted.,True,success,1200.0,
5040,,,CARD,HDFC,BANK_TIMEOUT,BANK_PROCESSING,2500.0,2026-09-04T16:16:29,0,False,0.5955299482442491,REVIEW,HIGH,BANK_TIMEOUT,Bank timeout requires review because the payment may have been processed without confirmation.,Bank timeout occurred. | Payment processing status is uncertain. | The bank may have processed the payment. | Automatic retry could create a duplicate charge. | Human review is required before recovery.,False,pending,0.0,Bank timeout requires review because the payment may have been processed without confirmation.
5041,,,CARD,HDFC,CARD_BLOCKED,CARD_AUTHORIZATION,1500.0,2026-09-04T16:17:21,0,False,0.026213392816333995,DO_NOT_RECOVER,HIGH,CARD_BLOCKED,Card is blocked and automatic recovery is not permitted.,Card blocked condition detected. | Automatic recovery could repeatedly fail. | Further recovery attempts are unsafe. | Recovery action is blocked.,False,not_attempted,0.0,Card is blocked and automatic recovery is not permitted.
5042,,,UPI,HDFC,PROCESSING_ERROR,PAYMENT_PROCESSING,1500.0,2026-09-04T16:18:08,3,False,0.3496462752083648,DO_NOT_RECOVER,HIGH,MAX_RETRY_LIMIT,Maximum retry limit reached. Further automatic recovery attempts are blocked.,Maximum retry limit has been reached. | Additional automatic retries could increase payment risk. | Recovery action is blocked.,False,not_attempted,0.0,Maximum retry limit reached. Further automatic recovery attempts are blocked.
5050,,,UPI,HDFC,PROCESSING_ERROR,PAYMENT_PROCESSING,8000.0,2026-09-04T16:38:21,0,False,0.5820879408418943,REVIEW,HIGH,HIGH_VALUE_TRANSACTION,Transaction amount is high (>= 7500). Human review is required before recovery.,High-value transaction detected. | Financial impact of an incorrect recovery attempt is significant. | Automatic recovery is restricted for high-value transactions. | Human review is required.,False,pending,0.0,Transaction amount is high (>= 7500). Human review is required before recovery.
5051,,,UPI,HDFC,PROCESSING_ERROR,PAYMENT_PROCESSING,2000.0,2026-09-04T17:02:39,0,False,0.8323639401003198,AUTOMATE,LOW,HIGH_RECOVERY_PROBABILITY,Recovery probability is high and no blocking policy rule was triggered.,ML model predicts a high recovery probability. | No hard safety restriction was triggered. | Transaction amount is below the high-value threshold. | Automatic recovery is permitted.,True,success,2000.0,
5052,,,CARD,HDFC,BANK_TIMEOUT,BANK_PROCESSING,2500.0,2026-09-04T17:03:29,0,False,0.5955299482442491,REVIEW,HIGH,BANK_TIMEOUT,Bank timeout requires review because the payment may have been processed without confirmation.,Bank timeout occurred. | Payment processing status is uncertain. | The bank may have processed the payment. | Automatic retry could create a duplicate charge. | Human review is required before recovery.,False,pending,0.0,Bank timeout requires review because the payment may have been processed without confirmation.
5053,,,CARD,HDFC,CARD_BLOCKED,CARD_AUTHORIZATION,1500.0,2026-09-04T17:20:33,0,False,0.026213392816333995,DO_NOT_RECOVER,HIGH,CARD_BLOCKED,Card is blocked and automatic recovery is not permitted.,Card blocked condition detected. | Automatic recovery could repeatedly fail. | Further recovery attempts are unsafe. | Recovery action is blocked.,False,not_attempted,0.0,Card is blocked and automatic recovery is not permitted.
5054,,,UPI,HDFC,PROCESSING_ERROR,PAYMENT_PROCESSING,1500.0,2026-09-04T17:21:14,3,False,0.3496462752083648,DO_NOT_RECOVER,HIGH,MAX_RETRY_LIMIT,Maximum retry limit reached. Further automatic recovery attempts are blocked.,Maximum retry limit has been reached. | Additional automatic retries could increase payment risk. | Recovery action is blocked.,False,not_attempted,0.0,Maximum retry limit reached. Further automatic recovery attempts are blocked.
